Area,White,Asian,,Black,,Mixed/ Other,,Total,,,
Barking and Dagenham,"109,000","54,000",0.509433962,"36,000",0.339622642,"15,000",0.141509434,"215,000","106,000",red,
Barnet,"250,000","57,000",0.407142857,"30,000",0.214285714,"54,000",0.385714286,"390,000","140,000",pink,
Bexley,"195,000","17,000",0.320754717,"21,000",0.396226415,"15,000",0.283018868,"248,000","53,000",blue/leaning purple,
Brent,"102,000","107,000",0.473451327,"62,000",0.274336283,"56,000",0.247787611,"328,000","226,000",very red,
Bromley,"267,000","15,000",0.238095238,"21,000",0.333333333,"28,000",0.444444444,"330,000","63,000",very light blue,
Camden,"158,000","39,000",0.402061856,"19,000",0.195876289,"38,000",0.391752577,"255,000","97,000",pink,
Croydon,"227,000","70,000",0.440251572,"64,000",0.402515723,"24,000",0.150943396,"386,000","159,000",purple leaning red,
Ealing,"174,000","96,000",0.568047337,"23,000",0.136094675,"50,000",0.295857988,"343,000","169,000",red,
Enfield,"206,000","37,000",0.282442748,"74,000",0.564885496,"20,000",0.152671756,"337,000","131,000",blue,
Greenwich,"178,000","39,000",0.367924528,"48,000",0.452830189,"19,000",0.179245283,"284,000","106,000",blue little red,
Hackney,"144,000","32,000",0.233576642,"63,000",0.459854015,"42,000",0.306569343,"281,000","137,000",blue,
Hammersmith and Fulham,"119,000","20,000",0.327868852,"23,000",0.37704918,"19,000",0.31147541,"180,000","61,000",purple leaning blue,
Haringey,"180,000","18,000",0.1875,"34,000",0.354166667,"44,000",0.458333333,"276,000","96,000",light light blue,
Harrow,"110,000","98,000",0.705035971,"13,000",0.09352518,"28,000",0.201438849,"249,000","139,000",red,
Havering,"216,000","13,000",0.30952381,"14,000",0.333333333,"15,000",0.357142857,"258,000","42,000",purple,
Hillingdon,"154,000","100,000",0.662251656,"24,000",0.158940397,"28,000",0.185430464,"305,000","151,000",red,
Hounslow,"130,000","86,000",0.618705036,"25,000",0.179856115,"29,000",0.208633094,"269,000","139,000",red,
Islington,"165,000","17,000",0.242857143,"25,000",0.357142857,"28,000",0.4,"235,000","70,000",light blue,d4d7ff
Kensington and Chelsea,"100,000","18,000",0.333333333,"15,000",0.277777778,"22,000",0.407407407,"154,000","54,000",light purple,#cd8bfc
Kingston upon Thames,"123,000","30,000",0.555555556,"3,000",0.055555556,"21,000",0.388888889,"177,000","54,000",red pink,
Lambeth,"172,000","28,000",0.184210526,"76,000",0.5,"49,000",0.322368421,"324,000","152,000",blue,
Lewisham,"193,000","23,000",0.205357143,"58,000",0.517857143,"30,000",0.267857143,"305,000","112,000",blue,
Merton,"135,000","35,000",0.486111111,"16,000",0.222222222,"21,000",0.291666667,"207,000","72,000",red,
Newham,"111,000","166,000",0.691666667,"47,000",0.195833333,"27,000",0.1125,"351,000","240,000",red,
Redbridge,"143,000","126,000",0.768292683,"20,000",0.12195122,"18,000",0.109756098,"307,000","164,000",red,
Richmond upon Thames,"170,000","11,000",0.423076923,-,#VALUE!,"14,000",0.538461538,"196,000","26,000",light red,
Southwark,"200,000","17,000",0.147826087,"64,000",0.556521739,"35,000",0.304347826,"315,000","115,000",blue,
Sutton,"147,000","36,000",0.631578947,"11,000",0.192982456,"10,000",0.175438596,"204,000","57,000",red,
Tower Hamlets,"145,000","128,000",0.75739645,"22,000",0.130177515,"19,000",0.112426036,"314,000","169,000",heavy red,
Waltham Forest,"142,000","44,000",0.325925926,"43,000",0.318518519,"48,000",0.355555556,"277,000","135,000",purple barely light,
Wandsworth,"242,000","19,000",0.234567901,"39,000",0.481481481,"23,000",0.283950617,"323,000","81,000",blue barely light,
Westminster,"140,000","33,000",0.326732673,"17,000",0.168316832,"51,000",0.504950495,"241,000","101,000",light light pink,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,